book,vagga,story_thai
6,อตฺตวคฺควณฺณนา.,อุปนนฺทสกฺยปุตฺตวตฺถุ
6,อตฺตวคฺควณฺณนา.,ปธานิกติสฺสตฺเถรวตฺถุ
6,อตฺตวคฺควณฺณนา.,กุมารกสฺสปตฺเถรมาตุวตฺถุ
6,อตฺตวคฺควณฺณนา.,มหากาลอุปาสกวตฺถุ
6,อตฺตวคฺควณฺณนา.,เทวทตฺตวตฺถุ
6,อตฺตวคฺควณฺณนา.,สงฺฆเภทปริสกฺกนวตฺถุ
6,อตฺตวคฺควณฺณนา.,กาลตฺเถรวตฺถุ
6,อตฺตวคฺควณฺณนา.,จุลฺลกาลอุปาสกวตฺถุ
6,อตฺตวคฺควณฺณนา.,อตฺตทตฺถตฺเถรวตฺถุ
6,โลกวคฺค วณฺณนา.,ทหรภิกฺขุวตฺถุ
6,โลกวคฺค วณฺณนา.,สุทฺโธทนวตฺถุ
6,โลกวคฺค วณฺณนา.,วิปสฺสกภิกฺขุวตฺถุ
6,โลกวคฺค วณฺณนา.,อภยราชกุมารวตฺถุ
6,โลกวคฺค วณฺณนา.,สมฺมชฺชนตฺเถรวตฺถุ
6,โลกวคฺค วณฺณนา.,องฺคุลิมาลตฺเถรวตฺถุ
6,โลกวคฺค วณฺณนา.,เปสการธีตุวตฺถุ
6,โลกวคฺค วณฺณนา.,ตึสภิกฺขุวตฺถุ
6,โลกวคฺค วณฺณนา.,จิญฺจมาณวิกาวตฺถุ
6,โลกวคฺค วณฺณนา.,อสทิสทานวตฺถุ
6,โลกวคฺค วณฺณนา.,อนาถปิณฺฑิกปุตฺตกาลวตฺถุ
6,พุทฺธวคฺค วณฺณนา.,มารธีตาวตฺถุ
6,พุทฺธวคฺค วณฺณนา.,ยมกปฺปาฏิหาริยวตฺถุ
6,พุทฺธวคฺค วณฺณนา.,เอรกปตฺตนาคราชวตฺถุ
6,พุทฺธวคฺค วณฺณนา.,อานนฺทตฺเถรสฺสปญฺหวตฺถุ
6,พุทฺธวคฺค วณฺณนา.,อนภิรตภิกฺขุวตฺถุ
6,พุทฺธวคฺค วณฺณนา.,อคฺคิทตฺตปุโรหิตวตฺถุ
6,พุทฺธวคฺค วณฺณนา.,สมฺพหุลภิกฺขุวตฺถุ
6,พุทฺธวคฺค วณฺณนา.,กสฺสปทสพลสฺสสุวณฺณเจติยวตฺถุ
6,สุขวคฺค วณฺณนา.,ญาตกานํกลหวูปสมนวตฺถุ
6,สุขวคฺค วณฺณนา.,มารวตฺถุ
6,สุขวคฺค วณฺณนา.,โกสลรญฺโญปราชยวตฺถุ
6,สุขวคฺค วณฺณนา.,อญฺญตรกุลทาริกาวตฺถุ
6,สุขวคฺค วณฺณนา.,อญฺญตรอุปาสกวตฺถุ
6,สุขวคฺค วณฺณนา.,ปเสนทิโกสลวตฺถุ
6,สุขวคฺค วณฺณนา.,ติสฺสตฺเถรวตฺถุ
6,สุขวคฺค วณฺณนา.,สกฺกวตฺถุ
6,ปิยวคฺค วณฺณนา.,ตโยปพฺพชิตวตฺถุ
6,ปิยวคฺค วณฺณนา.,อญฺญตรกุฏุมฺพิกวตฺถุ
6,ปิยวคฺค วณฺณนา.,วิสาขาอุปาสิกาวตฺถุ
6,ปิยวคฺค วณฺณนา.,ลิจฺฉวิวตฺถุ
6,ปิยวคฺค วณฺณนา.,อนิตฺถิคนฺธกุมารวตฺถุ
6,ปิยวคฺค วณฺณนา.,อญฺญตรพฺราหฺมณวตฺถุ
6,ปิยวคฺค วณฺณนา.,ปญฺจสตทารกวตฺถุ
6,ปิยวคฺค วณฺณนา.,อนาคามิตฺเถรวตฺถุ
6,ปิยวคฺค วณฺณนา.,นนฺทิยวตฺถุ
6,ปิยวคฺค วณฺณนา.,นนฺทิยวตฺถุ, โรหิณีขตฺติยกญฺญาวตฺถุ
6,เทสนาวสาเน พหู โสตาปตฺติผลาทีนิ ปาปุณึสูติ.,นนฺทิยวตฺถุ, โรหิณีขตฺติยกญฺญาวตฺถุ
6,เทสนาวสาเน พหู โสตาปตฺติผลาทีนิ ปาปุณึสูติ.,โรหิณีขตฺติยกญฺญาวตฺถุ
6,เทสนาวสาเน พหู โสตาปตฺติผลาทีนิ ปาปุณึสูติ.,อญฺญตรภิกฺขุวตฺถุ
6,เทสนาวสาเน พหู โสตาปตฺติผลาทีนิ ปาปุณึสูติ.,อุตฺตราอุปาสิกาวตฺถุ
6,เทสนาวสาเน พหู โสตาปตฺติผลาทีนิ ปาปุณึสูติ.,โมคฺคลฺลานตฺเถรปญฺหวตฺถุ
6,เทสนาวสาเน พหู โสตาปตฺติผลาทีนิ ปาปุณึสูติ.,ภิกฺขูหิปุฏฐปญฺหวตฺถุ
6,เทสนาวสาเน พหู โสตาปตฺติผลาทีนิ ปาปุณึสูติ.,ปุณฺณทาสีวตฺถุ
6,เทสนาวสาเน พหู โสตาปตฺติผลาทีนิ ปาปุณึสูติ.,อตุลอุปาสกวตฺถุ
6,เทสนาวสาเน พหู โสตาปตฺติผลาทีนิ ปาปุณึสูติ.,ฉพฺพคฺคิยภิกฺขุวตฺถุ
7,มลวคฺควณฺณนา.,โคฆาตกปุตฺตวตฺถุ
7,มลวคฺควณฺณนา.,อญฺญตรพฺราหฺมณวตฺถุ
7,มลวคฺควณฺณนา.,ติสฺสตฺเถรวตฺถุ
7,มลวคฺควณฺณนา.,โลฬุทายิตฺเถรวตฺถุ
7,มลวคฺควณฺณนา.,อญฺญตรกุลปุตฺตวตฺถุ
7,มลวคฺควณฺณนา.,จูฬสาริภิกฺขุวตฺถุ
7,มลวคฺควณฺณนา.,ปญฺจอุปาสกวตฺถุ
7,มลวคฺควณฺณนา.,ติสฺสทหรวตฺถุ
7,มลวคฺควณฺณนา.,เมณฺฑกเสฏฺฐิวตฺถุ
7,มลวคฺควณฺณนา.,อุชฺฌานสญฺญิตฺเถรวตฺถุ
7,มลวคฺควณฺณนา.,สุภทฺทวตฺถุ
7,ธมฺมฏฺฐวคฺควณฺณนา.,วินิจฺฉยมหามตฺตวตฺถุ
7,ธมฺมฏฺฐวคฺควณฺณนา.,ฉพฺพคฺคิยวตฺถุ
7,ธมฺมฏฺฐวคฺควณฺณนา.,เอกุทานตฺเถรวตฺถุ
7,ธมฺมฏฺฐวคฺควณฺณนา.,ลกุณฺฏกภทฺทิยตฺเถรวตฺถุ
7,ธมฺมฏฺฐวคฺควณฺณนา.,สมฺพหุลภิกฺขุวตฺถุ
7,ธมฺมฏฺฐวคฺควณฺณนา.,หตฺถกวตฺถุ
7,ธมฺมฏฺฐวคฺควณฺณนา.,อญฺญตรพฺราหฺมณวตฺถุ
7,ธมฺมฏฺฐวคฺควณฺณนา.,ติตฺถิยวตฺถุ
7,ธมฺมฏฺฐวคฺควณฺณนา.,อริยพาลิสิกวตฺถุ
7,มคฺควคฺควณฺณนา.,ปญฺจสตภิกฺขุวตฺถุ
7,มคฺควคฺควณฺณนา.,อปรํ ปญฺจสตภิกฺขุวตฺถุ
7,มคฺควคฺควณฺณนา.,ปธานกมฺมิกติสฺสตฺเถรวตฺถุ
7,มคฺควคฺควณฺณนา.,สูกรเปตวตฺถุ
7,มคฺควคฺควณฺณนา.,โปฐิลตฺเถรวตฺถุ
7,มคฺควคฺควณฺณนา.,มหลฺลกตฺเถรวตฺถุ
7,มคฺควคฺควณฺณนา.,สารีปุตฺตตฺเถรสฺสสทฺธิวิหาริกวตฺถุ
7,มคฺควคฺควณฺณนา.,มหาธนวาณิชวตฺถุ
7,มคฺควคฺควณฺณนา.,กิสาโคตมีวตฺถุ
7,มคฺควคฺควณฺณนา.,ปฏาจาราวตฺถุ
7,ปกิณฺณกวคฺควณฺณนา.,อตฺตโนปุพฺพกมฺมวตฺถุ
7,ปกิณฺณกวคฺควณฺณนา.,กุกฺกุฏณฺฑขาทิกาวตฺถุ
7,ปกิณฺณกวคฺควณฺณนา.,ภทฺทิยภิกฺขุวตฺถุ
7,ปกิณฺณกวคฺควณฺณนา.,ลกุณฺฏกภทฺทิยตฺเถรวตฺถุ
7,ปกิณฺณกวคฺควณฺณนา.,ทารุสากฏิกวตฺถุ
7,ปกิณฺณกวคฺควณฺณนา.,วชฺชีปุตฺตกภิกฺขุวตฺถุ
7,ปกิณฺณกวคฺควณฺณนา.,จิตฺตคหปติวตฺถุ
7,ปกิณฺณกวคฺควณฺณนา.,จูฬสุภทฺทาวตฺถุ
7,ปกิณฺณกวคฺควณฺณนา.,เอกวิหาริตฺเถรวตฺถุ
7,นิรยวคฺควณฺณนา.,สุนฺทรีปริพฺพาชิกาวตฺถุ
7,นิรยวคฺควณฺณนา.,ทุกฺขปีฬิตสตฺตวตฺถุ
7,นิรยวคฺควณฺณนา.,วคฺคุมุทาตีริยภิกฺขุวตฺถุ
7,นิรยวคฺควณฺณนา.,เขมกเสฏฺฐิปุตฺตวตฺถุ
7,นิรยวคฺควณฺณนา.,ทุพฺพจภิกฺขุวตฺถุ
7,นิรยวคฺควณฺณนา.,อิสฺสาปกตอิตฺถีวตฺถุ
7,นิรยวคฺควณฺณนา.,อาคนฺตุกภิกฺขุวตฺถุ
7,นิรยวคฺควณฺณนา.,นิคฺคณฺฐวตฺถุ
7,นิรยวคฺควณฺณนา.,ติตฺถิยสาวกวตฺถุ
7,นาควคฺควณฺณนา.,อตฺตโนวตฺถุ
7,นาควคฺควณฺณนา.,หตฺถาจริยปุพฺพกภิกฺขุวตฺถุ
7,นาควคฺควณฺณนา.,ปริชิณฺณพฺราหฺมณปุตฺตวตฺถุ
7,นาควคฺควณฺณนา.,ปเสนทิโกสลราชวตฺถุ
7,นาควคฺควณฺณนา.,สานุสามเณรวตฺถุ
7,นาควคฺควณฺณนา.,ปาเวรกหตฺถิวตฺถุ
7,นาควคฺควณฺณนา.,สมฺพหุลภิกฺขุวตฺถุ
7,นาควคฺควณฺณนา.,มารวตฺถุ
8,,กปิลมจฺฉวตฺถุ
8,,สูกรโปติกาวตฺถุ
8,,วิพฺภนฺตกวตฺถุ
8,,พนฺธนาคารวตฺถุ
8,,เขมาวตฺถุ
8,,อุคฺคเสนเสฏฺฐิปุตฺตวตฺถุ
8,,จูฬธนุคฺคหปณฺฑิตวตฺถุ
8,,มารวตฺถุ
8,,อุปกาชีวกวตฺถุ
8,,สกฺกเทวราชวตฺถุ
8,,อปุตฺตกเสฏฺฐิวตฺถุ
8,,องฺกุรเทวปุตฺตวตฺถุ
8,ภิกฺขุวคฺควณฺณนา.,ปญฺจภิกฺขุวตฺถุ
8,ภิกฺขุวคฺควณฺณนา.,หํสฆาตกภิกฺขุวตฺถุ
8,ภิกฺขุวคฺควณฺณนา.,โกกาลิกวตฺถุ
8,ภิกฺขุวคฺควณฺณนา.,ธมฺมารามตฺเถรวตฺถุ
8,ภิกฺขุวคฺควณฺณนา.,อญฺญตรวิปกฺขเสวกภิกฺขุวตฺถุ
8,ภิกฺขุวคฺควณฺณนา.,ปญฺจคฺคทายกพฺราหฺมณวตฺถุ
8,ภิกฺขุวคฺควณฺณนา.,สมฺพหุลภิกฺขุวตฺถุ
8,ภิกฺขุวคฺควณฺณนา.,ปญฺจสตภิกฺขุวตฺถุ
8,ภิกฺขุวคฺควณฺณนา.,สนฺตกายตฺเถรวตฺถุ
8,ภิกฺขุวคฺควณฺณนา.,นงฺคลกูฏตฺเถรวตฺถุ
8,ภิกฺขุวคฺควณฺณนา.,วกฺกลิตฺเถรวตฺถุ
8,ภิกฺขุวคฺควณฺณนา.,สุมนสามเณรวตฺถุ
8,พฺราหฺมณวคฺควณฺณนา.,ปสาทพหุลพฺราหฺมณวตฺถุ
8,พฺราหฺมณวคฺควณฺณนา.,สมฺพหุลภิกฺขุวตฺถุ
8,พฺราหฺมณวคฺควณฺณนา.,มารวตฺถุ
